GEO_ID,medicaid enrollments,medicaid ratio
001,27262,11.3
003,5513,14.6
005,332445,33.5
007,22096,14.1
009,9542,15.7
011,8048,13.6
013,17797,17.3
015,10144,15.7
017,6369,16.6
019,9003,14.6
021,5494,11.4
023,5117,13.2
025,4914,12.9
027,20036,8.9
029,103167,14.6
031,3634,12.4
033,6011,16.8
035,8371,20.0
037,5711,12.4
039,5058,13.8
041,408,10.2
043,8170,16.5
045,12299,16.2
047,508213,26.7
049,2700,13.4
051,5241,10.6
053,6290,11.2
055,76946,13.5
057,6771,18.0
059,74348,7.3
061,232794,17.3
063,25211,15.1
065,28831,16.6
067,44683,12.6
069,8723,10.6
071,29202,11.2
073,4767,15.5
075,15771,17.0
077,6537,13.1
079,4463,5.9
081,341513,19.4
083,14819,12.0
085,50378,14.2
087,26733,12.0
089,14495,17.1
091,12613,7.5
093,13824,11.8
095,3462,13.4
097,1724,12.1
099,2959,11.8
101,10711,14.3
103,88410,7.9
105,9380,16.1
107,4308,11.1
109,8021,9.5
111,17627,12.5
113,5651,11.0
115,6194,13.3
117,8174,11.7
119,64505,9.1
121,3170,10.7
123,2204,11.7
