"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,916,064","±7,127","418,442","±3,377","4,206,665","±5,205","1,728,354","±4,415","23,477,300","±13,273","3,560,553","±6,092","2,156,769","±4,336","574,650","±1,971","441,913","±2,303","12,672,391","±10,110","6,445,824","±12,105","782,944","±3,157","1,096,006","±3,606","7,433,633","±7,922","3,954,766","±5,530","1,828,074","±4,142","1,657,703","±4,830","2,599,012","±5,302","2,615,711","±5,504","805,195","±2,152","3,627,388","±5,662","4,255,270","±5,642","5,858,108","±6,027","3,334,664","±4,427","1,653,780","±5,782","3,552,805","±6,252","635,153","±2,549","1,110,453","±4,159","1,880,248","±4,422","837,307","±3,109","5,484,095","±7,191","1,191,031","±5,450","11,767,983","±6,892","6,217,037","±8,102","448,374","±2,391","6,784,974","±8,161","2,277,825","±3,957","2,507,769","±5,452","7,528,115","±6,158","657,030","±2,809","3,005,248","±6,513","498,967","±2,829","4,140,306","±7,382","17,731,264","±16,579","1,968,052","±4,292","379,740","±2,165","5,038,561","±9,606","4,648,020","±6,124","999,164","±3,648","3,429,007","±4,445","326,649","±2,455","1,887,096","±4,269"
"    Worked full-time, year-round:","1,616,254","±15,879","221,191","±4,838","2,407,172","±22,405","953,857","±11,299","12,629,610","±49,588","2,156,365","±16,839","1,229,923","±14,715","348,903","±6,611","278,833","±7,397","7,291,127","±31,385","3,762,746","±25,015","439,623","±7,650","604,948","±8,636","4,341,872","±27,815","2,298,648","±18,784","1,134,286","±10,982","1,020,694","±11,418","1,430,534","±15,901","1,411,023","±16,745","461,270","±8,223","2,256,135","±16,831","2,465,865","±22,084","3,214,343","±22,463","2,022,360","±14,555","904,850","±12,744","2,099,925","±17,337","363,925","±6,957","701,737","±9,231","1,046,160","±13,557","515,033","±7,568","3,221,547","±23,975","621,080","±11,308","6,457,526","±36,504","3,605,854","±25,903","277,629","±6,005","3,939,213","±25,171","1,277,615","±10,977","1,348,100","±14,476","4,379,611","±23,077","383,153","±7,356","1,697,746","±16,758","318,726","±5,359","2,399,003","±18,673","10,465,711","±44,523","1,124,631","±11,210","218,130","±4,884","3,039,880","±19,962","2,617,453","±19,514","517,417","±9,237","2,085,069","±15,054","194,819","±5,368","756,074","±13,681"
"        With health insurance coverage","1,467,214","±17,234","194,898","±5,014","2,128,916","±22,226","859,824","±12,957","11,701,601","±47,474","1,983,703","±17,424","1,158,181","±13,572","328,384","±6,940","273,757","±7,573","6,331,689","±37,114","3,283,604","±27,625","426,640","±7,961","542,451","±8,272","4,025,576","±32,112","2,129,299","±18,652","1,084,181","±10,211","929,760","±12,363","1,340,037","±16,615","1,282,070","±16,616","425,828","±8,293","2,107,243","±16,475","2,403,234","±21,818","3,047,398","±21,600","1,930,186","±14,253","797,448","±12,985","1,922,923","±18,218","325,895","±7,177","653,890","±8,931","920,247","±13,197","487,693","±7,955","2,975,410","±24,825","555,194","±11,361","6,095,337","±37,864","3,229,789","±26,235","259,857","±6,191","3,686,905","±26,626","1,113,680","±12,597","1,249,299","±15,876","4,144,949","±23,429","364,865","±7,878","1,523,500","±17,765","294,053","±5,253","2,160,274","±21,604","8,656,806","±42,899","1,028,436","±12,041","205,323","±4,970","2,835,197","±19,828","2,448,462","±19,635","473,817","±9,469","1,963,795","±15,725","169,539","±6,568","698,152","±13,759"
"            With employer-based health insurance","1,282,815","±18,527","163,823","±5,308","1,790,138","±22,071","706,321","±13,973","9,399,607","±50,748","1,674,436","±18,433","987,028","±15,112","286,070","±7,318","239,207","±7,344","4,916,628","±38,276","2,833,765","±25,788","369,612","±7,880","453,802","±8,140","3,533,792","±31,475","1,855,501","±19,442","943,143","±11,734","824,675","±11,986","1,128,603","±16,161","1,011,051","±20,272","359,017","±7,877","1,789,796","±17,088","2,026,974","±20,629","2,603,053","±22,370","1,670,323","±17,558","687,100","±12,506","1,709,147","±19,799","254,511","±7,662","564,694","±8,756","779,802","±14,712","427,654","±8,867","2,602,510","±24,500","426,482","±12,175","4,997,547","±37,855","2,735,891","±24,624","225,417","±7,170","3,210,021","±26,842","939,956","±13,101","1,060,676","±15,353","3,627,065","±26,210","300,681","±7,784","1,295,740","±18,361","252,400","±5,906","1,846,316","±20,703","7,549,207","±43,425","898,948","±12,921","172,757","±5,335","2,429,400","±22,195","2,159,603","±21,029","407,794","±9,839","1,732,923","±16,646","144,926","±6,119","413,867","±11,369"
"            With direct-purchase health insurance","184,351","±8,348","18,846","±2,962","206,271","±9,794","97,165","±6,863","1,333,566","±23,325","201,786","±9,268","103,073","±6,743","26,579","±3,211","17,565","±2,303","1,189,724","±24,430","426,872","±15,942","41,575","±3,733","65,354","±4,753","363,698","±10,972","191,129","±9,092","108,645","±5,784","113,644","±5,642","104,838","±5,525","133,844","±6,887","43,132","±3,481","223,611","±9,812","229,087","±11,083","273,467","±9,092","175,201","±5,733","112,123","±6,774","193,570","±8,454","44,353","±3,749","84,936","±4,923","91,069","±6,521","48,026","±4,806","277,297","±14,386","51,257","±4,613","597,942","±14,956","422,852","±12,778","35,092","±3,120","296,858","±11,738","124,705","±5,751","119,438","±5,466","376,677","±12,629","38,411","±4,322","199,570","±8,961","41,117","±2,887","252,929","±10,317","1,012,327","±23,214","123,673","±6,880","19,655","±2,238","271,360","±10,007","224,385","±10,059","36,946","±4,088","179,215","±6,445","23,064","±3,037","121,806","±6,853"
"            With Medicare coverage","11,114","±2,149","1,122","±681","8,855","±1,728","6,914","±1,210","77,671","±5,598","7,204","±1,627","4,722","±1,254","2,025","±772","1,273","±768","41,762","±3,559","20,871","±2,915","3,211","±1,046","4,089","±1,213","20,615","±3,139","11,489","±2,127","4,562","±1,076","3,699","±892","7,789","±1,594","12,207","±2,296","2,402","±823","14,569","±2,649","15,192","±2,493","17,000","±2,406","8,474","±1,539","6,258","±1,265","12,804","±2,411","1,833","±754","3,208","±957","6,326","±1,448","1,255","±451","14,500","±2,280","5,953","±1,853","39,436","±3,731","18,126","±2,489","1,078","±462","21,053","±2,950","9,959","±1,630","5,397","±1,459","21,558","±3,115","2,247","±1,001","10,406","±2,202","1,727","±721","12,561","±2,498","41,417","±4,354","3,868","±1,137","1,269","±468","15,454","±2,198","10,643","±2,283","3,202","±854","7,434","±1,139","574","±393","4,283","±1,369"
"            With Medicaid/means-tested public coverage","60,987","±5,064","18,601","±2,167","196,773","±9,752","87,186","±5,872","1,455,753","±24,307","152,985","±8,096","108,328","±6,327","26,916","±3,080","23,679","±3,503","356,739","±12,331","144,484","±8,259","33,546","±3,004","45,740","±3,589","274,818","±11,795","167,214","±8,496","78,442","±4,482","32,199","±3,118","155,351","±7,651","201,257","±9,480","31,668","±3,144","173,040","±8,864","250,118","±12,151","295,808","±11,385","158,701","±7,272","36,773","±3,590","77,288","±6,061","36,123","±2,992","29,089","±2,859","78,113","±6,029","22,609","±3,025","193,487","±9,225","98,195","±6,204","774,806","±18,061","168,167","±9,046","11,415","±1,922","307,455","±11,030","79,956","±4,463","119,530","±7,525","316,616","±14,106","37,495","±4,581","78,947","±5,918","8,211","±1,928","127,645","±7,170","334,932","±14,575","35,786","±3,879","17,741","±2,158","178,351","±9,265","163,741","±7,847","51,464","±4,500","125,739","±5,986","4,101","±1,193","180,260","±8,297"
"        No health insurance coverage","149,040","±10,102","26,293","±3,039","278,256","±11,911","94,033","±6,092","928,009","±22,579","172,662","±9,448","71,742","±6,544","20,519","±3,300","5,076","±1,634","959,438","±20,952","479,142","±15,449","12,983","±2,039","62,497","±5,168","316,296","±12,849","169,349","±9,001","50,105","±3,767","90,934","±6,242","90,497","±6,640","128,953","±7,250","35,442","±3,743","148,892","±8,617","62,631","±5,939","166,945","±8,197","92,174","±5,918","107,402","±6,517","177,002","±8,048","38,030","±3,838","47,847","±4,069","125,913","±6,874","27,340","±3,345","246,137","±11,291","65,886","±4,686","362,189","±13,241","376,065","±15,025","17,772","±2,930","252,308","±9,753","163,935","±6,105","98,801","±6,952","234,662","±11,737","18,288","±3,480","174,246","±8,763","24,673","±2,527","238,729","±11,631","1,808,905","±27,836","96,195","±6,818","12,807","±2,364","204,683","±10,552","168,991","±9,304","43,600","±4,467","121,274","±6,251","25,280","±3,691","57,922","±5,005"
"    Worked less than full-time, year-round:","617,945","±12,856","123,452","±4,378","941,038","±19,502","349,763","±9,636","5,999,478","±41,590","894,787","±13,283","560,361","±13,549","129,227","±5,997","97,693","±7,126","2,795,548","±27,190","1,412,598","±20,701","194,643","±6,209","296,698","±8,659","1,774,240","±22,725","960,083","±14,924","449,317","±9,510","376,145","±9,759","585,668","±12,503","573,924","±14,141","201,568","±6,658","770,175","±13,348","1,105,399","±16,671","1,492,940","±18,455","881,572","±12,047","337,895","±9,865","790,496","±13,404","167,523","±5,972","261,443","±7,481","451,282","±11,347","196,240","±6,555","1,297,340","±19,908","285,178","±7,638","2,919,313","±26,941","1,381,214","±22,002","116,767","±5,367","1,627,380","±20,811","507,468","±10,763","706,223","±14,027","1,778,135","±18,772","162,157","±7,281","695,843","±14,053","112,367","±4,479","913,921","±16,228","3,860,613","±38,738","546,856","±12,329","104,034","±4,386","1,106,492","±17,355","1,191,696","±18,224","203,009","±6,320","834,429","±13,188","80,613","±4,298","424,569","±12,440"
"        With health insurance coverage","496,123","±11,400","101,179","±4,504","778,851","±17,591","292,720","±9,515","5,331,745","±40,844","792,876","±12,601","511,176","±13,205","112,604","±5,204","90,812","±6,466","2,218,408","±25,573","1,103,138","±18,716","182,002","±6,183","256,859","±8,722","1,552,862","±21,006","840,026","±13,896","412,113","±9,085","310,552","±8,777","522,046","±11,642","497,808","±13,565","175,893","±6,588","689,706","±13,945","1,058,217","±16,354","1,358,957","±17,726","809,300","±11,660","259,750","±9,823","645,637","±13,199","147,432","±5,825","227,048","±6,772","363,731","±10,362","175,906","±6,052","1,132,896","±17,821","241,326","±8,282","2,686,854","±27,085","1,128,150","±20,754","103,521","±5,321","1,456,983","±20,304","387,269","±9,640","628,423","±12,022","1,615,096","±18,442","148,756","±6,860","565,171","±12,107","94,102","±4,123","746,445","±15,546","2,697,751","±32,073","475,766","±11,826","98,096","±4,315","961,241","±15,869","1,042,695","±17,751","175,722","±6,142","761,685","±12,293","62,088","±4,268","379,670","±12,695"
